Title,Skills,budget,experience_level,rate_type,duration,description
Business Intelligence Developer for Part Time Work,"['Operations Analytics', 'Dashboard', 'Data Analysis', 'Business Intelligence', 'Python', 'Microsoft Excel', 'SQL', 'Microsoft Power BI']",-,Intermediate,Hourly: $18-$50,Less than 30 hrs/week,"WFS is seeking a Part Time Business Intelligence Developer to join Operational Excellence & Business Performance, North America. The candidate will be responsible for providing end-to-end business intelligence solutions that democratize data across the business. You will work closely with analysts, data engineers, data scientists, and business stakeholders to understand business questions, create analytical data assets, and use visualization to create informative reports and dashboards that allow stakeholders to answer questions quickly and with confidence. You will become an expert in our data infrastructure and create/maintain reports and dashboards critical to conducting daily operations. The ideal candidate has a strong foundation in Business Intelligence principles, is comfortable working with large volumes of data, and possesses the technical expertise to solve complex data challenges.

Responsibilities
•	Develop and maintain Power BI reports and dashboards to support business needs.
•	Perform ad hoc analysis, insight requests, and data extractions to resolve critical business reporting issues.
•	Collaborates with business partners and IT in the development of enterprise self-service (business information) 
metrics and dimensions
•	Collaborates with data governance to ensure metrics and dimensions adhere to enterprise standard definitions
•	Work directly with analysts, engineers and stakeholders to understand goals, gather requirements, and develop new 
reporting assets
•	Identify and fill gaps among our data assets and key metrics
•	Design, develop, deploy, and maintain BI solutions, including data models, data marts, visualizations, dashboards, 
and reports. 
•	Design and build visualization dashboards and reports for projects to accelerate information-to-action at scale 
using data from disparate data sources and various tools like Power BI, Looker, and SSRS. 
•	Lead data-related projects end to end, from requirements gathering to deployment in production with the help of the 
BI Manager and BI Engineer. 
•	Be a subject matter expert on our data infrastructure and help us on our path to continuous growth to build a 
scalable and sustainable infrastructure.
•	Stay updated on the latest trends and best practices in business intelligence and data visualization.
•	Develop Python scripts for data analysis and automation tasks.

Minimum Requirements
	Bachelor's degree in Computer Science, Information Technology, or related field.
	2-3 years of hands-on experience with Power BI and Power BI Service
	Intermediate proficiency in SQL, with the ability to write complex queries.
	Intermediate proficiency in DAX for data modeling and calculations.
	Continuously improve performance and reliability of reports
	Recommend additional options for reporting and analytics
	Knowledge of data engineering practices, including data modeling, ETL processes, and data warehousing concepts.
	Bachelors or Masters in engineering, math, physics, computer science, economics or equivalent

Preferred Skills
	Experience with Snowflake, Azure
	Power BI Certifications
	Experience in an Agile environment
	Experience with Python for data analysis and automation tasks.
	CI/CD, Git experience or equivalent
	Excellent English verbal and written communication skills, ability to communicate and interact effectively at both technical and business level.

This role will be part time at 20 hours per week with the potential to increase to 40.

We look forward for your applications!
"
AWS Sagemaker MLOps Expert,"['Amazon Web Services', 'Amazon SageMaker', 'Amazon EC2', 'Python', 'Machine Learning', 'DevOps']",-,Intermediate,Hourly: $20-$85,Less than 30 hrs/week,"I have built a machine learning model in Google Colab. Now, I need some help deploying the predictions endpoint in AWS. I've never deployed a machine learning model in AWS before. Currently I'm struggling through the Sagemaker documentation and I think it'd be best to bring in someone with machine learning model deployment to assist me. This job won't require any machine learning skills other than figuring out the best way to deploy my model in AWS. "
EXPEDITED R Data Analysis Flow Cytometry,"['R', 'Data Analysis', 'Data Science']","
        $100
      ",Expert,Fixed-price,-,I have some flow cytometry data that I need processed. I already have the R code I just need someone to run it quickly. 
Python Developer required for simple command line scripts (should be familiar with RSS / ATOM feeds),"['Python', 'Scripting', 'Celery']",-,Intermediate,Hourly: $15-$35,Less than 30 hrs/week,"We have a few open-source Python scripts for various utilities.

I am currently looking for someone to take over the management and development of these on a full time basis.

Ideally I'd like to find someone who

* Has a good working knowledge of Celery
* Has a good portfolio of building Python scripts/libraries
* Happy to write tests as they go
* Willing to write user documentation (I can clean it up)

When hiring, I tend to put freelancers on a few fixed price paid trial projects to see how we work together. If you are looking for a full time contract immediately, please don't apply. This contract will develop into full time work in mid- 2024, for the right candidate."
Participate in an Academic Survey to Reflect on your Freelancing Experience – DR197,"['Business Coaching', 'Career Coaching', 'LinkedIn Profile Optimization', 'Resume Development', 'Startup Consulting', 'Life Coaching', 'Interview Preparation', 'Mock Interview', 'Online Presence Review', 'Cover Letter Writing', 'Job Search Strategy']","
        $8
      ",Intermediate,Fixed-price,-,"Hello, you are being requested to take part in a survey of 25 - 30 minutes for academic research purposes. Once you begin the survey, you have up to 72 hours to complete it, beyond which time the survey platform will mark your responses as incomplete. Please pay attention to all the questions.   

Since many established resources for employees such as organizational support or supervisors do not apply to freelancers, this study intends to help freelancers with strategies to have a better freelancing experience on Upwork or other comparable platforms. We will use your answers to guide new and experienced freelancers on building their profiles on labor platforms like Upwork and managing their freelancing career, as well as suggest improvements to the platforms and to policymakers. If you are interested, we can provide you with a brief summary of our major findings from our completed research study once our research is complete (tentatively August 2025 or earlier), after contacting you via Upwork.

We welcome freelancers across experience levels, earnings, and ratings who:
(i) provide freelancing services on their own (not as part of an agency or company),
(ii) are over 18 years of age,
(iii) have provided freelancing services for more than 1 year on Upwork,
(iv) have worked on freelancing projects in the past 1 year on Upwork (consider July 2022-June 2023 as the past 1 year), and
(iv) have a Job Success Score on their profile.

If you meet all the criteria listed above, please respond to this online survey job posting only if you consent to participating in this survey and allowing us to use certain details from your public Upwork profile for statistical purposes.

Procedure: In this survey you will not have any more risks than you have in normal life. This study has been approved by the researchers' institutional research ethics board.

You will not be personally identified in our analysis or reporting. While storing the data from the survey, a participant ID number will be used instead of your name. However, we will collect some information from your public Upwork profile with your consent (e.g., ratings, job category, total earnings, number of jobs, number of successfully completed jobs and jobs in progress, hourly rate, pricing strategy (fixed vs. hourly), profile title and keywords, number of reviews, type of recognition badge, number of years of educational and work experience, number of skill tags, country, gender, job success score, availability of  portfolio, testimonials, certifications, availability badge, and profile video) to understand the difference in freelance experience. Profile information that is captured from your public profile on Upwork with your consent, will be depersonalized for data analysis and reporting so that it is not identifiable with your details and will only be recorded against your participant ID number. These details and your responses will be kept confidential and used for academic purposes only. This study has been approved by the researchers' institutional research ethics board. Data will be stored in a secure academic database on university-licensed cloud storage to ensure confidentiality.

Please use a laptop or tablet to complete the survey. We recommend not using mobile.

Compensation: You will receive $8 for your participation. Kindly note, you will be compensated upon completion of the entire interview as per standard Upwork processes. At the end of the survey, you will be provided with a random ID number (numerical code) that will need to be shared with us on Upwork Message. This will enable us to process your compensation via the Upwork platform, as per standard Upwork processes.

You can stop participating in the survey at any time. You may skip the questions, where applicable or use the ‘Not applicable or NA’/‘Not sure’/‘Prefer not to disclose’ options, or even close the browser to end the survey. While we hope that you will complete the survey, we will compensate you for the first milestone for partial completion of the survey. Your Upwork profile will not be adversely impacted in any way with your participation in the survey, even if you choose to terminate the survey midway as we will provide a 5-star rating without feedback upon completion to preserve the research integrity.

Survey time: Approximately 25-30 minutes. The actual time may vary.

Location: The survey will be conducted virtually, via an online survey platform and will begin only after you provide your consent.

Frequency: One-time

Consent: We will seek your consent electronically at the start of the online survey regarding:
• Consent to participate
• Consent to record non-personal information from your public profile without personally identifying you in the data.

Please respond to the online survey job posting once you agree with ALL the above requirements. If you have any more questions, you can contact the primary researchers through Upwork Message."
Participate in an Academic Survey to Reflect on your Freelancing Experience – DR196,"['CRM Automation', 'Email Automation', 'A/B Testing', 'Campaign Management', 'Marketing Automation', 'Marketing Campaign Setup & Implementation', 'Marketing Operations & Workflow', 'Salesforce CRM', 'ClickFunnels', 'Shopify', 'Zapier', 'Pardot', 'Salesforce Marketing Cloud', 'Autopilot', 'Keap', 'Mailchimp', 'HubSpot', 'Marketo']","
        $8
      ",Intermediate,Fixed-price,-,"Hello, you are being requested to take part in a survey of 25 - 30 minutes for academic research purposes. Once you begin the survey, you have up to 72 hours to complete it, beyond which time the survey platform will mark your responses as incomplete. Please pay attention to all the questions.   

Since many established resources for employees such as organizational support or supervisors do not apply to freelancers, this study intends to help freelancers with strategies to have a better freelancing experience on Upwork or other comparable platforms. We will use your answers to guide new and experienced freelancers on building their profiles on labor platforms like Upwork and managing their freelancing career, as well as suggest improvements to the platforms and to policymakers. If you are interested, we can provide you with a brief summary of our major findings from our completed research study once our research is complete (tentatively August 2025 or earlier), after contacting you via Upwork.

We welcome freelancers across experience levels, earnings, and ratings who:
(i) provide freelancing services on their own (not as part of an agency or company),
(ii) are over 18 years of age,
(iii) have provided freelancing services for more than 1 year on Upwork,
(iv) have worked on freelancing projects in the past 1 year on Upwork (consider July 2022-June 2023 as the past 1 year), and
(iv) have a Job Success Score on their profile.

If you meet all the criteria listed above, please respond to this online survey job posting only if you consent to participating in this survey and allowing us to use certain details from your public Upwork profile for statistical purposes.

Procedure: In this survey you will not have any more risks than you have in normal life. This study has been approved by the researchers' institutional research ethics board.

You will not be personally identified in our analysis or reporting. While storing the data from the survey, a participant ID number will be used instead of your name. However, we will collect some information from your public Upwork profile with your consent (e.g., ratings, job category, total earnings, number of jobs, number of successfully completed jobs and jobs in progress, hourly rate, pricing strategy (fixed vs. hourly), profile title and keywords, number of reviews, type of recognition badge, number of years of educational and work experience, number of skill tags, country, gender, job success score, availability of  portfolio, testimonials, certifications, availability badge, and profile video) to understand the difference in freelance experience. Profile information that is captured from your public profile on Upwork with your consent, will be depersonalized for data analysis and reporting so that it is not identifiable with your details and will only be recorded against your participant ID number. These details and your responses will be kept confidential and used for academic purposes only. This study has been approved by the researchers' institutional research ethics board. Data will be stored in a secure academic database on university-licensed cloud storage to ensure confidentiality.

Please use a laptop or tablet to complete the survey. We recommend not using mobile.

Compensation: You will receive $8 for your participation. Kindly note, you will be compensated upon completion of the entire interview as per standard Upwork processes. At the end of the survey, you will be provided with a random ID number (numerical code) that will need to be shared with us on Upwork Message. This will enable us to process your compensation via the Upwork platform, as per standard Upwork processes.

You can stop participating in the survey at any time. You may skip the questions, where applicable or use the ‘Not applicable or NA’/‘Not sure’/‘Prefer not to disclose’ options, or even close the browser to end the survey. While we hope that you will complete the survey, we will compensate you for the first milestone for partial completion of the survey. Your Upwork profile will not be adversely impacted in any way with your participation in the survey, even if you choose to terminate the survey midway as we will provide a 5-star rating without feedback upon completion to preserve the research integrity.

Survey time: Approximately 25-30 minutes. The actual time may vary.

Location: The survey will be conducted virtually, via an online survey platform and will begin only after you provide your consent.

Frequency: One-time

Consent: We will seek your consent electronically at the start of the online survey regarding:
• Consent to participate
• Consent to record non-personal information from your public profile without personally identifying you in the data.

Please respond to the online survey job posting once you agree with ALL the above requirements. If you have any more questions, you can contact the primary researchers through Upwork Message."
I need to build a website that works with AI,"['Graphic Design', 'Web Development', 'Artificial Intelligence', 'Machine Learning']","
        $1,000
      ",Expert,Fixed-price,-,"I need to build a website that can convert a photo into a talking video. The website uses AI and machine learning in full
I'll send the full details once I chat with the developer and make sure they understand the project"
Participate in an Academic Survey to Reflect on your Freelancing Experience – DR194,"['Commercial Design', 'Industrial Architecture', 'Landscape Design', 'Residential Design', 'Urban Planning', 'Architecture Consultation', 'Branding & Marketing', 'Building Information Modeling', 'Construction Monitoring', 'Concept Design', 'Interior Design', 'Project Management', '3D Animation', '3D Design', '3D Rendering', '3D Texturing', 'CAD Conversion', '2D Design', 'Adobe Illustrator', 'Autodesk 3ds Max', 'Adobe Photoshop', 'Adobe InDesign', 'Autodesk AutoCAD']","
        $8
      ",Intermediate,Fixed-price,-,"Hello, you are being requested to take part in a survey of 25 - 30 minutes for academic research purposes. Once you begin the survey, you have up to 72 hours to complete it, beyond which time the survey platform will mark your responses as incomplete. Please pay attention to all the questions.   

Since many established resources for employees such as organizational support or supervisors do not apply to freelancers, this study intends to help freelancers with strategies to have a better freelancing experience on Upwork or other comparable platforms. We will use your answers to guide new and experienced freelancers on building their profiles on labor platforms like Upwork and managing their freelancing career, as well as suggest improvements to the platforms and to policymakers. If you are interested, we can provide you with a brief summary of our major findings from our completed research study once our research is complete (tentatively August 2025 or earlier), after contacting you via Upwork.

We welcome freelancers across experience levels, earnings, and ratings who:
(i) provide freelancing services on their own (not as part of an agency or company),
(ii) are over 18 years of age,
(iii) have provided freelancing services for more than 1 year on Upwork,
(iv) have worked on freelancing projects in the past 1 year on Upwork (consider July 2022-June 2023 as the past 1 year), and
(iv) have a Job Success Score on their profile.

If you meet all the criteria listed above, please respond to this online survey job posting only if you consent to participating in this survey and allowing us to use certain details from your public Upwork profile for statistical purposes.

Procedure: In this survey you will not have any more risks than you have in normal life. This study has been approved by the researchers' institutional research ethics board.

You will not be personally identified in our analysis or reporting. While storing the data from the survey, a participant ID number will be used instead of your name. However, we will collect some information from your public Upwork profile with your consent (e.g., ratings, job category, total earnings, number of jobs, number of successfully completed jobs and jobs in progress, hourly rate, pricing strategy (fixed vs. hourly), profile title and keywords, number of reviews, type of recognition badge, number of years of educational and work experience, number of skill tags, country, gender, job success score, availability of  portfolio, testimonials, certifications, availability badge, and profile video) to understand the difference in freelance experience. Profile information that is captured from your public profile on Upwork with your consent, will be depersonalized for data analysis and reporting so that it is not identifiable with your details and will only be recorded against your participant ID number. These details and your responses will be kept confidential and used for academic purposes only. This study has been approved by the researchers' institutional research ethics board. Data will be stored in a secure academic database on university-licensed cloud storage to ensure confidentiality.

Please use a laptop or tablet to complete the survey. We recommend not using mobile.

Compensation: You will receive $8 for your participation. Kindly note, you will be compensated upon completion of the entire interview as per standard Upwork processes. At the end of the survey, you will be provided with a random ID number (numerical code) that will need to be shared with us on Upwork Message. This will enable us to process your compensation via the Upwork platform, as per standard Upwork processes.

You can stop participating in the survey at any time. You may skip the questions, where applicable or use the ‘Not applicable or NA’/‘Not sure’/‘Prefer not to disclose’ options, or even close the browser to end the survey. While we hope that you will complete the survey, we will compensate you for the first milestone for partial completion of the survey. Your Upwork profile will not be adversely impacted in any way with your participation in the survey, even if you choose to terminate the survey midway as we will provide a 5-star rating without feedback upon completion to preserve the research integrity.

Survey time: Approximately 25-30 minutes. The actual time may vary.

Location: The survey will be conducted virtually, via an online survey platform and will begin only after you provide your consent.

Frequency: One-time

Consent: We will seek your consent electronically at the start of the online survey regarding:
• Consent to participate
• Consent to record non-personal information from your public profile without personally identifying you in the data.

Please respond to the online survey job posting once you agree with ALL the above requirements. If you have any more questions, you can contact the primary researchers through Upwork Message."
AI consultant,"['Artificial Intelligence', 'Artificial Neural Network']",-,Expert,Hourly,Less than 30 hrs/week,"أبحث عن مستشار ذكاء اصطناعي يتمتع بخبرة عميقة وشغف بتطبيقات الذكاء الاصطناعي، سيعمل المستشار مع الادارة بشكل مباشر لفهم احتياجاتهم وطرح حلول مبتكرة تستخدم الذكاء الاصطناعي وتسرّع من آلية الأعمال الروتينية.

المسؤوليات:
تحليل وفهم احتياجات الإدارة وتحديد كيفية استخدام الذكاء الاصطناعي لتحقيق أهدافنا.
تطوير واقتراح استراتيجيات وحلول مبتكرة باستخدام الذكاء الاصطناعي لتحسين عملياتنا ومنتجاتنا.
تقديم المشورة حول أفضل الممارسات والتقنيات الجديدة في مجال الذكاء الاصطناعي.
تقديم التدريب والدعم الفني لفرق الشركة لضمان الاستفادة الكاملة من الحلول المطبقة.

I am looking for an AI Consultant with extensive experience and a passion for AI applications. The consultant will work directly with management to understand their needs and propose innovative solutions using AI to accelerate routine business processes.

Responsibilities:

Analyze and understand the management's needs and identify how AI can be used to achieve our goals.
Develop and suggest innovative strategies and solutions using AI to improve our operations and products.
Advise on best practices and new technologies in the field of AI.
Provide training and technical support to the company's teams to ensure full benefit from the implemented solutions."
[Scrapping] Scrape twitter accounts info to excel/.sheets,['Data Scraping'],-,Intermediate,Hourly,Less than 30 hrs/week,"Hi!

We need a competent programmer to extract account info from Twitter/X.

++ THE JOB ++

1. Search twitter for Crypto/web3/NFT etc related accounts;*
2. Scrape them (500k to 5 Million)
3. Insert all on .cvs file

* I can provide a list of targets, but your input on script parameters will be a plus.

++ DELIVERABLES ++

.cvs should contain:

- account Handle
- account Name
- number of followers
- number of Following
- Link
- Joined Date
- Post Count

++ NEXT STEPS ++

If you can do all tasks or some of them, answer the screening questions and let's do it

Thanks!"
